0, D, 0
36312, C, 73, 71
36340, F, 71, 64
36422, C, 72, 71
36441, F, 56, 64
36443, F, 60, 64
36445, F, 73, 64
36460, F, 65, 64
36522, C, 70, 73
36551, F, 72, 64
36651, C, 71, 66
36660, C, 55, 44
36661, C, 62, 44
36666, C, 65, 33
36683, E, 64, 0
36689, F, 70, 64
36695, E, 64, 127
36758, F, 55, 64
36767, F, 62, 64
36772, F, 65, 64
36778, C, 80, 71
36826, F, 71, 64
36926, C, 61, 50
36926, C, 55, 41
36932, C, 79, 72
36941, C, 65, 33
36965, F, 80, 64
36983, E, 64, 0
37017, E, 64, 127
37065, C, 71, 66
37073, F, 79, 64
37190, C, 70, 71
37204, F, 71, 64
37214, F, 65, 64
37226, F, 61, 64
37229, F, 55, 64
37432, C, 55, 57
37432, C, 61, 39
37432, C, 64, 37
