0, Program_c, 0
14154, Note_off_c, 71, 64
14191, Control_c, 64, 127
14191, Control_c, 64, 127
14255, Note_on_c, 66, 59
14268, Note_off_c, 70, 64
14316, Note_on_c, 69, 58
14320, Note_on_c, 63, 49
14326, Note_on_c, 60, 50
14329, Note_off_c, 66, 64
14337, Control_c, 64, 0
14337, Control_c, 64, 0
14342, Note_off_c, 61, 64
14345, Note_off_c, 64, 64
14378, Control_c, 64, 127
14378, Control_c, 64, 127
14508, Note_on_c, 59, 37
14509, Note_on_c, 62, 48
14511, Note_on_c, 53, 46
14515, Note_off_c, 63, 64
14518, Note_off_c, 54, 64
14521, Note_off_c, 60, 64
14532, Control_c, 64, 0
14532, Control_c, 64, 0
14579, Control_c, 64, 127
14579, Control_c, 64, 127
14638, Note_on_c, 71, 49
14642, Note_off_c, 69, 64
14667, Note_on_c, 69, 52
14688, Note_off_c, 71, 64
14703, Note_on_c, 52, 50
14705, Note_on_c, 68, 46
14707, Control_c, 64, 0
14707, Control_c, 64, 0
14716, Note_off_c, 53, 64
14728, Note_off_c, 69, 64
14763, Control_c, 64, 127
14763, Control_c, 64, 127
14820, Note_on_c, 64, 44
14825, Note_off_c, 68, 64
14888, Control_c, 64, 0
14888, Control_c, 64, 0
14895, Note_on_c, 67, 61
14895, Note_on_c, 61, 45
14902, Note_on_c, 58, 48
14911, Note_off_c, 59, 64
14912, Note_off_c, 62, 64
14914, Note_off_c, 64, 64
14950, Control_c, 64, 127
14950, Control_c, 64, 127
15082, Note_off_c, 61, 64
15085, Note_on_c, 51, 46
15092, Note_on_c, 57, 39
15093, Note_on_c, 61, 44
15094, Control_c, 64, 0
15094, Control_c, 64, 0
15100, Note_off_c, 52, 64
15131, Note_off_c, 58, 64
15154, Control_c, 64, 127
15154, Control_c, 64, 127
15220, Note_on_c, 69, 40
15234, Note_off_c, 67, 64
15260, Note_on_c, 67, 48
15280, Note_off_c, 69, 64
15285, Note_on_c, 50, 48
15290, Control_c, 64, 0
15290, Control_c, 64, 0
15300, Note_on_c, 66, 48
15301, Note_off_c, 51, 64
15329, Note_off_c, 67, 64
15337, Control_c, 64, 127
15337, Control_c, 64, 127
15399, Note_on_c, 62, 50
15408, Note_off_c, 66, 64
15460, Note_off_c, 61, 64
15528, Note_on_c, 66, 59
15535, Note_on_c, 56, 45
15538, Note_on_c, 59, 45
15542, Control_c, 64, 0
15542, Control_c, 64, 0
15543, Note_off_c, 57, 64
15551, Note_off_c, 62, 64
15588, Control_c, 64, 127
15588, Control_c, 64, 127
15755, Control_c, 64, 0
15755, Control_c, 64, 0
15768, Note_on_c, 37, 63
15771, Note_on_c, 49, 66
15774, Note_off_c, 56, 64
15777, Note_off_c, 59, 64
15795, Note_off_c, 50, 64
15824, Control_c, 64, 127
15824, Control_c, 64, 127
15925, Note_on_c, 68, 57
15928, Note_off_c, 66, 64
15950, Note_off_c, 49, 64
15958, Note_on_c, 66, 70
15979, Note_off_c, 37, 64
15980, Note_on_c, 49, 46
15983, Note_off_c, 68, 64
15987, Note_on_c, 56, 52
15989, Control_c, 64, 0
15989, Control_c, 64, 0
15996, Note_on_c, 65, 63
15996, Note_on_c, 59, 48
16010, Note_off_c, 66, 64
16030, Control_c, 64, 127
16030, Control_c, 64, 127
16056, Note_off_c, 49, 64
16057, Note_off_c, 59, 64
16067, Note_off_c, 56, 64
16089, Note_on_c, 66, 72
16100, Note_off_c, 65, 64
16172, Control_c, 64, 0
16172, Control_c, 64, 0
16187, Note_on_c, 68, 66
16193, Note_on_c, 59, 58
16195, Note_on_c, 49, 61
16199, Note_on_c, 53, 59
16200, Note_off_c, 66, 64
16229, Control_c, 64, 127
16229, Control_c, 64, 127
16238, Note_off_c, 59, 64
16239, Note_off_c, 53, 64
16253, Note_off_c, 49, 64
16330, Note_on_c, 62, 58
16345, Note_off_c, 68, 64
16360, Control_c, 64, 0
16360, Control_c, 64, 0
16375, Note_on_c, 61, 66
16381, Note_on_c, 42, 55
16404, Note_off_c, 62, 64
16419, Control_c, 64, 127
16419, Control_c, 64, 127
16518, Note_on_c, 66, 54
16532, Note_off_c, 61, 64
16556, Note_on_c, 69, 66
16556, Note_on_c, 61, 55
16556, Note_on_c, 54, 66
16557, Control_c, 64, 0
16557, Control_c, 64, 0
16587, Note_off_c, 66, 64
16592, Note_off_c, 42, 64
16600, Note_off_c, 54, 64
